ID,Is_Lead
VBENBARO,0.055408207178568564
CCMEWNKY,0.8236464145642867
VK3KGA9M,0.05278989389502948
TT8RPZVC,0.023361931852833518
SHQZEYTZ,0.02219666656822309
MZZAQMPT,0.10181806357266397
Y88TW36I,0.07294717727775579
3UGOAQNU,0.05034729083844864
VVUKMUJT,0.9920494353748149
9R363ZXS,0.16170628906234613
BLISM6JE,0.051261518169489956
CH8S7JK7,0.25333882726620005
EAHDPXEJ,0.8304200216843507
BNUK9PRF,0.33075786934185203
GP2PG6FJ,0.05411329562431639
WNQCSN8A,0.03504450758045907
32DN4YVZ,0.4506617901982888
GXAMDANM,0.05267456514071306
MXETLUP4,0.07558775681862892
MPXK6TVE,0.8541007994998764
LBSIME2K,0.15085463322953221
D6ORJTM6,0.048084465112901056
HGDIBAKA,0.8179771484936116
UUZYL9DZ,0.4314144858543779
AUGE3VWK,0.05344121496815788
MX7GOX6Q,0.11468894501498728
TQN6K35W,0.06792838331137263
QQDRMQQN,0.4891643774230124
UP6GC6F4,0.05734332323979624
BMHBUVHB,0.6056022366837142
KGLDW86A,0.15350168640337397
FQEOMOP4,0.11677297587492115
DYWM5MEU,0.1956209428589438
DXHGXV8F,0.060265308635156514
AVFBFQKC,0.1936339539345431
DBIDKYMV,0.1369382515148023
KYZHMEBY,0.2654720783541808
SSFEBUGF,0.053192817798956495
MGJTAG8X,0.45401712273446143
MP6BERDO,0.13916394437319685
GXZ8ED68,0.048963268168320855
ICTFGWQR,0.5897477432822337
EAYHTRKH,0.027033227041603405
6FN97QLQ,0.0861657663429472
3H5MZDDW,0.3617733276710268
2DXZZWSN,0.040671048529992024
MM4QIRE5,0.1001640791832989
HJWVYXUA,0.1817890393678216
RBRSJUP3,0.8209659408625071
YFRQKGXW,0.42602994937933225
N3SADEBV,0.0453039706930868
G2A2YYXY,0.03790229095927035
XMGA3WT3,0.07621975698341735
KVZQPSGI,0.16908577493615942
UAKARBBG,0.04603531226344018
WYKKL85Z,0.2175394517785982
GHNYYGRR,0.10043789246487267
UBAJANWT,0.0510263299296261
LSARSF7U,0.021794941319049913
4CNSJVVR,0.22429925336460182
JRHJSWYO,0.2958918402342712
FHZ8SVVI,0.07485896013310092
JUIRE47M,0.8211047036728428
GDIVN2GL,0.05828932837089953
WMF3DYE3,0.8127169042592638
MAQEHEWK,0.17725999469968987
2W8DLKFU,0.06576790772268877
AKGRML6H,0.11583859925369946
B7WUUGCY,0.05115653527613669
TLJOYATM,0.4293477546498723
UH6ZDM3W,0.8197082591044244
7IP5SSRR,0.7738987091610209
PV85PMEB,0.5036607290639115
FGDOY4NI,0.08377533612200026
7YYIXJQE,0.07192249897733592
BHW42XPW,0.07837516242393107
3PKEEAT4,0.3030503073090199
ACFPZ3LM,0.049623527843042005
6GORGNYN,0.8143130668571555
AEPQTMJK,0.26056259065637116
S6FNZFKK,0.04824187578239767
JTYNEKRQ,0.6398192886449151
GPXDPHHC,0.06614880621214696
O8TMKNNB,0.06750843244314975
XSQVHKYG,0.05200394568019502
