ID,Is_Lead
VBENBARO,0.03416044438703283
CCMEWNKY,0.8657241062726653
VK3KGA9M,0.08131782857241668
TT8RPZVC,0.024185477907292016
SHQZEYTZ,0.022476442761755564
MZZAQMPT,0.07737791814042368
Y88TW36I,0.07861554851314423
3UGOAQNU,0.05263881947573311
VVUKMUJT,0.9959949713682633
9R363ZXS,0.1522122950587601
BLISM6JE,0.05965897099310325
CH8S7JK7,0.24022947443937195
EAHDPXEJ,0.850870505864519
BNUK9PRF,0.31268657507502945
GP2PG6FJ,0.05490362489177714
WNQCSN8A,0.03574053524348273
32DN4YVZ,0.448033526727833
GXAMDANM,0.0532338924334211
MXETLUP4,0.07160090989338665
MPXK6TVE,0.8218716426738929
LBSIME2K,0.16540732601467656
D6ORJTM6,0.05018068963625374
HGDIBAKA,0.8048045174938112
UUZYL9DZ,0.43193288110409916
AUGE3VWK,0.05019659151190585
MX7GOX6Q,0.10364729407891937
TQN6K35W,0.05611078845332019
QQDRMQQN,0.4882342701927882
UP6GC6F4,0.04170131072218027
BMHBUVHB,0.604229059658139
KGLDW86A,0.16577707412942286
FQEOMOP4,0.11471704928337159
DYWM5MEU,0.17733057931512614
DXHGXV8F,0.05656825199767092
AVFBFQKC,0.16779936359804212
DBIDKYMV,0.142097760892157
KYZHMEBY,0.24160983460491212
SSFEBUGF,0.052757376339144034
MGJTAG8X,0.4506806553861396
MP6BERDO,0.13626234583778576
GXZ8ED68,0.05300621607239146
ICTFGWQR,0.6750743859294605
EAYHTRKH,0.02382334729086829
6FN97QLQ,0.08702212469732427
3H5MZDDW,0.36823814842459174
2DXZZWSN,0.03214676070915747
MM4QIRE5,0.07336342315328838
HJWVYXUA,0.16179888174451484
RBRSJUP3,0.8288313127327552
YFRQKGXW,0.39669948308179365
N3SADEBV,0.07104177851707955
G2A2YYXY,0.04003282875107215
XMGA3WT3,0.06474055859817884
KVZQPSGI,0.18211509617918564
UAKARBBG,0.04426786232984488
WYKKL85Z,0.2123019331884537
GHNYYGRR,0.10560153810251
UBAJANWT,0.055315372607953855
LSARSF7U,0.018046116097427865
4CNSJVVR,0.22471456196021167
JRHJSWYO,0.3289836170187546
FHZ8SVVI,0.06339695644851186
JUIRE47M,0.8323827102689634
GDIVN2GL,0.06262069626358496
WMF3DYE3,0.8105275666346836
MAQEHEWK,0.1576648993348178
2W8DLKFU,0.055349294258399365
AKGRML6H,0.11431473999169287
B7WUUGCY,0.038519910257778935
TLJOYATM,0.44226536654333964
UH6ZDM3W,0.8933054869043497
7IP5SSRR,0.7996432790768054
PV85PMEB,0.4877529542607679
FGDOY4NI,0.1004700339289165
7YYIXJQE,0.06588538859394108
BHW42XPW,0.04863724111735049
3PKEEAT4,0.3053301975654016
ACFPZ3LM,0.05409929326140441
6GORGNYN,0.8247217644082593
AEPQTMJK,0.24982632460977502
S6FNZFKK,0.05245506066262174
JTYNEKRQ,0.6791688014173453
GPXDPHHC,0.05964999391068484
O8TMKNNB,0.059241290625060325
XSQVHKYG,0.05598987219311352
MJ3CZRAE,0.021483304601491116
3NSQEYBJ,0.42704143886559287
SXVBASGH,0.051494812152284894
5ZIGZYSS,0.061092302261901356
FQSHBCUT,0.32554217413735653
MU45XUBP,0.046517954448507925
BVULDPBI,0.06275931269690084
82GRNPFG,0.8167149349534417
KKBNELBF,0.04228667382652382
HXQGBDGY,0.052838404011716925
28HDZICG,0.545363501227305
GHBPKPJC,0.04805637650095185
FDWZFSSC,0.851732719239025
FWTIWZF3,0.053913438015631705
JYMHVPMY,0.0368279790088823
AHUDO2T6,0.8374651399686466
ACDHABS3,0.2682603579841469
